,node_artist,edge_artist,followers,genres,popularity,_type,edge_uri
163,spotify:artist:6lHL3ubAMgSasKjNqKb8HF,Blaque,430835,contemporary r&b; dance pop; girl group; hip pop; r&b; urban contemporary,47,artist,spotify:artist:1nSRa2YjjFWJLHGKM07oGQ
164,spotify:artist:6lHL3ubAMgSasKjNqKb8HF,Nivea,650405,atl hip hop; contemporary r&b; hip pop; pop r&b; r&b; urban contemporary,47,artist,spotify:artist:15Dh5PvHQj909E0RgAe0aN
165,spotify:artist:6lHL3ubAMgSasKjNqKb8HF,3LW,545118,contemporary r&b; dance pop; girl group; hip pop; r&b; urban contemporary,45,artist,spotify:artist:2lFHVcUeJ9Gq6AZiU3ZAOa
166,spotify:artist:6lHL3ubAMgSasKjNqKb8HF,Melanie Fiona,791202,canadian pop; hip pop; neo soul; pop r&b; r&b; urban contemporary,50,artist,spotify:artist:4O2YL4ygn6eTBC0w1hyWUM
167,spotify:artist:6lHL3ubAMgSasKjNqKb8HF,Christina Milian,1232072,dance pop; hip hop; hip pop; pop rap; post-teen pop; r&b; urban contemporary,55,artist,spotify:artist:4eAOcbAXIF4BmbN6E1QIlw
168,spotify:artist:6lHL3ubAMgSasKjNqKb8HF,Faith Evans,1364257,contemporary r&b; hip hop; hip pop; neo soul; quiet storm; r&b; urban contemporary,64,artist,spotify:artist:5NDMothbpdpq2xHqSjrrWn
169,spotify:artist:6lHL3ubAMgSasKjNqKb8HF,Fantasia,1796768,contemporary r&b; dance pop; hip pop; neo soul; pop r&b; quiet storm; r&b; urban contemporary,57,artist,spotify:artist:7xAcVHPiirnUqfdqo0USb1
170,spotify:artist:6lHL3ubAMgSasKjNqKb8HF,Kelly Rowland,3229521,atl hip hop; dance pop; hip pop; neo soul; pop; pop rap; post-teen pop; r&b; rap; urban contemporary,67,artist,spotify:artist:3AuMNF8rQAKOzjYppFNAoB
171,spotify:artist:6lHL3ubAMgSasKjNqKb8HF,Tamia,1388308,canadian pop; contemporary r&b; dance pop; hip pop; neo soul; quiet storm; r&b; urban contemporary,62,artist,spotify:artist:0le01dl1WllSHhjEXRl4in
172,spotify:artist:6lHL3ubAMgSasKjNqKb8HF,Cherish,549066,atl hip hop; dance pop; girl group; hip pop; r&b; southern hip hop; urban contemporary,69,artist,spotify:artist:1c70yCa8sRgIiQxl3HOEFo
173,spotify:artist:6lHL3ubAMgSasKjNqKb8HF,702,666781,contemporary r&b; girl group; hip pop; neo soul; quiet storm; r&b; urban contemporary,54,artist,spotify:artist:2S8UlyXW4JjjHcbeg8ddIo
174,spotify:artist:6lHL3ubAMgSasKjNqKb8HF,Keyshia Cole,3192314,contemporary r&b; dance pop; hip pop; neo soul; pop r&b; r&b; rap; urban contemporary,66,artist,spotify:artist:1vfezMIyCr4XUdYRaKIKi3
175,spotify:artist:6lHL3ubAMgSasKjNqKb8HF,LeToya,567888,contemporary r&b; hip pop; pop r&b; r&b; urban contemporary,45,artist,spotify:artist:5xenrbYhp4IRydrWpBe4Bx
176,spotify:artist:6lHL3ubAMgSasKjNqKb8HF,Tweet,537748,contemporary r&b; hip hop; hip pop; neo soul; r&b; urban contemporary,49,artist,spotify:artist:6zDBeei6hHRiZdAJ6zoTCo
177,spotify:artist:6lHL3ubAMgSasKjNqKb8HF,Danity Kane,580882,dance pop; girl group; hip pop; post-teen pop; r&b; urban contemporary,47,artist,spotify:artist:3FD9VAd0ppjmKbfxF4LzUh
178,spotify:artist:6lHL3ubAMgSasKjNqKb8HF,Keri Hilson,1789338,dance pop; hip pop; post-teen pop; r&b; urban contemporary,67,artist,spotify:artist:63wjoROpeh5f11Qm93UiJ1
179,spotify:artist:6lHL3ubAMgSasKjNqKb8HF,Aaliyah,3463533,contemporary r&b; dance pop; hip pop; neo soul; r&b; urban contemporary,67,artist,spotify:artist:0urTpYCsixqZwgNTkPJOJ4
180,spotify:artist:4FtSnMlCVxCswABUmdhwpm,Art Garfunkel,485652,adult standards; folk; folk rock; mellow gold; soft rock,50,artist,spotify:artist:6kEsKkXuE4olX7m3mNLZkS
