Bob Marley & The Wailers,78,10903293,spotify:artist:2QsynagSdAqZj3U9HgDzjD
Bob Newhart,15,9486,spotify:artist:49mU7Sl98U8MkECsd6zVq0
Bob Seger,67,1844666,spotify:artist:485uL27bPomh29R4JmQehQ
Bob Welch,45,80320,spotify:artist:0reZZVbAPxgX1Rqj6XbWj3
Bobby Brown,57,979857,spotify:artist:62sPt3fswraiEPnKQpAbdE
Bobby McFerrin,57,183480,spotify:artist:2FjkZT851ez950cyPjeYid
Bobby Sherman,28,40500,spotify:artist:5Rsz3E1aovbqsmLQOxgK2y
Bobby Vinton,51,226249,spotify:artist:6bOYtKnpLPQSfMpS2ilotK
Bon Iver,76,3276473,spotify:artist:4LEiUm1SRbFMgfqnQTwUbQ
Bon Jovi,78,11273548,spotify:artist:58lV9VcRSjABbAbfWS6skp
Bone Thugs-N-Harmony,65,2416145,spotify:artist:5spEJXLwD1sKUdC2bnOHPg
Boney James,53,151242,spotify:artist:1sBRcMH8DDR8Nsk2RoJmjS
Bonnie Raitt,60,578192,spotify:artist:4KDyYWR7IpxZ7xrdYbKrqY
Bonnie Tyler,66,1557171,spotify:artist:0SD4eZCN4Kr0wQk56hCdh2
Boogie Down Productions,42,282657,spotify:artist:4toEjJSZu1rbfX2hfVdZFA
Boots Randolph,28,6269,spotify:artist:3c8BXo73tAg7XZiNHJugZm
Bootsy's Rubber Band,8,2063,spotify:artist:44y3DMkP83lyU25GaP8y7U
Boston,66,2273872,spotify:artist:29kkCKKGXheHuoO829FxWK
Bow Wow,61,1201816,spotify:artist:7352aRY2mqSxBZwzUb6LmA
Boyz II Men,65,2581493,spotify:artist:6O74knDqdv3XaWtkII7Xjp
Boz Scaggs,59,664146,spotify:artist:46njgd2Rq9tZc4ZjeQMgbh
Brad Paisley,66,2411612,spotify:artist:13YmWQJFwgZrd4bf5IjMY4
Brandy,65,2939769,spotify:artist:05oH07COxkXKIMt6mIPRee
Brantley Gilbert,67,2677116,spotify:artist:5q8HGNo0BjLWaTAhRtbwxa
Brass Construction,33,112774,spotify:artist:5jWuVnPLmjABrgCGianzs9
Bread,64,1335275,spotify:artist:70ZTdbPEcEugBNay4MvxfL
Breaking Benjamin,71,4065234,spotify:artist:5BtHciL0e0zOP7prIHn3pP
Brett Eldredge,64,1415046,spotify:artist:0qSX3s5pJnAlSsgsCne8Cz
Brett Young,67,934107,spotify:artist:0fiWOxhsBsQQvFDtxUQWo0
Brian McKnight,60,1304958,spotify:artist:6k0IBR0lU42s2GYpNX7kA9
Britney Spears,81,11376249,spotify:artist:26dSoYclwsYLMAKD3tpOr4
Bronco,72,2704304,spotify:artist:0VKh7CQDi9MkUvaBMoK1V0
Brooks & Dunn,69,2410629,spotify:artist:0XKOBt59crntr7HQXXO8Yz
Brownstone,45,382274,spotify:artist:6dQgkiJm1fRkcqKOvPzysr
Bruce Hornsby and the Range,23,23331,spotify:artist:7CwJ4VEWs7HV7MWQt9cgyk
Bruce Springsteen,75,5076480,spotify:artist:3eqjTLE0HfPfh78zjh6TqT
Bruno Mars,87,43545489,spotify:artist:0du5cEVh5yTK9QJze8zA0C
Bryan Adams,74,2774248,spotify:artist:3Z02hBLubJxuFJfhacLSDc
Bryan White,50,89493,spotify:artist:45kyLFJs5SIEqyzfVopuSc
Bryson Tiller,79,6016076,spotify:artist:2EMAnMvWE2eb56ToJVfCWs
BTS,92,55583139,spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX
Buckcherry,58,679710,spotify:artist:0yN7xI1blow9nYIK0R8nM7
Buddy Holly & The Crickets,41,229940,spotify:artist:15jBNfRUPUgdZOTSaNoF5l
Buena Vista Social Club,62,1055880,spotify:artist:11kBu957KTYoAltZHDm8gW
Buffalo Springfield,61,676832,spotify:artist:3eskO5m0H4yiF64vRySBjr
Burt Bacharach,47,166215,spotify:artist:35y7CZMg7jbG8Q96JY7dyC
Bush,62,1601940,spotify:artist:78SHxLdtysAXgywQ4vE0Oa
Busta Rhymes,71,2204117,spotify:artist:1YfEcTuGvBQ8xSD1f53UnK
C & C Music Factory,53,209965,spotify:artist:7krx6UBDKLwE0q3s3fesqF
Cage The Elephant,74,2998756,spotify:artist:26T3LtbuGT1Fu9m0eRq5X3
CAKE,62,999235,spotify:artist:6A43Djmhbe9100UwnI7epV
California Raisins,14,2592,spotify:artist:3tC7pAMcEoU8En89pu1i1e
Calvin Harris,85,22875018,spotify:artist:7CajNmpbOovFoOoasH2HaY
Cam’ron,60,619229,spotify:artist:7iMvwE8qANp3aIfAGKEAwS
Cameo,53,563791,spotify:artist:545idYhdloaSlLGBY8E9u2
Camila Cabello,82,28173815,spotify:artist:4nDoRrQiYLoBzwC5BhVJzF
Candlebox,54,752214,spotify:artist:3R6c2tWDBeYB1GncjLMn9n
Capital Cities,66,809639,spotify:artist:4gwpcMTbLWtBUlOijbVpuu
Captain & Tennille,56,384604,spotify:artist:7BEfMxbaqx6dOpbtlEqScm
Cardi B,81,20480866,spotify:artist:4kYSro6naA4h99UJvo89HB
Carl Doy,31,2098,spotify:artist:6k7z2h1jKogQyArcLI13wy
Carl Thomas,50,589403,spotify:artist:6I6t21SFbxZ7RbQgD5dN7U
Carlos Santana & Buddy Miles,7,1176,spotify:artist:3xzv5kMXulv03oeXs6H8eL
Carly Simon,62,933601,spotify:artist:4FtSnMlCVxCswABUmdhwpm
Carman,35,63939,spotify:artist:3kTcyaSYP5fqlqrNUvxiER
Carole King,62,1267757,spotify:artist:319yZVtYM9MBGqmSQnMyY6
Carpenters,66,2540275,spotify:artist:1eEfMU2AhEo7XnKgL7c304
Carrie Underwood,72,5421623,spotify:artist:4xFUf1FHVy696Q1JQZMTRj
Case,55,777280,spotify:artist:5aEWnrN8h3MhuFUPRfaVuy
Casting Crowns,64,1725845,spotify:artist:6eJqAWJdd8JhAN1pQGie4r
CeCe Winans,57,452575,spotify:artist:3qfrrrSO7utFdJkM2tvMRb
Cedarmont Kids,52,23707,spotify:artist:0MCU2OpgnSB7rm5UPUMHgt
Céline Dion,73,6613021,spotify:artist:4S9EykWXhStSc15wEx8QFK
Celtic Woman,56,457836,spotify:artist:6NWtt9pNOL2Gx7kBykdE5x
