Artist,Certified Units,Gold,Platinum,Multi-Platinum,Diamond,Standard
RICHARD MARX,9.5,5,4,2,0,Standard
SUBLIME,9.5,6,3,2,0,Standard
TONY BENNETT,9.5,12,5,1,0,Standard
"""WEIRD AL"" YANKOVIC",9,10,6,1,0,All types
ARIANA GRANDE,9,6,6,3,0,All types
BREAD,9,8,2,1,0,Standard
CHEAP TRICK,9,8,6,1,0,Standard
DONNA SUMMER,9,11,3,2,0,Standard
GLEN CAMPBELL,9,11,5,1,0,Standard
GODSMACK,9,7,3,2,0,All types
JULIO IGLESIAS,9,8,2,2,0,All types
RAGE AGAINST THE MACHINE,9,4,4,3,0,Standard
STAIND,9,4,4,2,0,All types
STATLER BROTHERS,9,12,2,1,0,Standard
SUGARLAND,9,4,4,3,0,All types
WAYLON JENNINGS,9,8,2,1,0,All types
YOUNGBOY NEVER BROKE AGAIN,9,10,6,1,0,All types
ALLMAN BROTHERS,8.5,11,4,1,0,Standard
BABYFACE,8.5,4,3,3,0,Standard
BOZ SCAGGS,8.5,5,4,1,0,Standard
BRAD PAISLEY,8.5,8,5,2,0,All types
CARLY SIMON,8.5,8,5,1,0,Standard
CYNDI LAUPER,8.5,3,2,2,0,All types
ERIC CHURCH,8.5,6,5,2,0,All types
JA RULE,8.5,5,4,2,0,All types
MARY CHAPIN CARPENTER,8.5,6,3,2,0,Standard
MIRANDA LAMBERT,8.5,7,6,2,0,All types
PANIC! AT THE DISCO,8.5,6,5,2,0,All types
THE CURE,8.5,8,5,2,0,Standard
TOO SHORT,8.5,9,6,1,0,Standard
TOTO,8.5,6,3,2,0,All types
TRANS-SIBERIAN ORCHESTRA,8.5,5,4,3,0,All types
WU-TANG CLAN,8.5,4,3,2,0,All types
"10,000 MANIACS",8,4,4,3,0,Standard
ALICE COOPER,8,9,7,0,0,Standard
CYPRESS HILL,8,6,4,2,0,All types
DAUGHTRY,8,4,2,1,0,All types
ENRIQUE IGLESIAS,8,8,4,1,0,All types
GEORGE BENSON,8,8,4,1,0,Standard
GOO GOO DOLLS,8,4,2,2,0,All types
ICE CUBE,8,9,5,1,0,Standard
J. COLE,8,5,5,2,0,All types
JEFF FOXWORTHY,8,5,3,2,0,Standard
LADY A,8,5,3,2,0,All types
NICKI MINAJ,8,4,4,3,0,All types
"PETER, PAUL & MARY",8,9,3,2,0,Standard
RATT,8,6,4,2,0,Standard
SALT 'N PEPA,8,5,3,1,0,Standard
SAM SMITH,8,3,3,2,0,All types
SLY & THE FAMILY STONE,8,5,3,1,0,Standard
TANYA TUCKER,8,12,4,0,0,Standard
TEARS FOR FEARS,8,5,3,1,0,All types
THREE DOG NIGHT,8,14,2,0,0,Standard
TWENTY ONE PILOTS,8,3,3,2,0,All types
98 DEGREES,7.5,4,3,2,0,Standard
AMERICA,7.5,6,3,1,0,Standard
BARENAKED LADIES,7.5,6,3,1,0,Standard
BILL COSBY,7.5,9,6,0,0,Standard
"BLOOD, SWEAT & TEARS",7.5,5,2,2,0,Standard
BRIAN MC KNIGHT,7.5,6,3,2,0,All types
COLLECTIVE SOUL,7.5,5,4,2,0,Standard
DEEP PURPLE,7.5,9,4,1,0,Standard
DOLLY PARTON,7.5,11,4,0,0,All types
ENIGMA,7.5,4,3,2,0,Standard
GEORGE JONES,7.5,10,3,1,0,Standard
JEFFERSON STARSHIP,7.5,10,3,1,0,Standard
KENDRICK LAMAR,7.5,4,3,2,0,All types
KENNY LOGGINS,7.5,10,5,0,0,Standard
KOOL & THE GANG,7.5,9,4,1,0,Standard
NEW EDITION,7.5,5,4,3,0,Standard
RAY CHARLES,7.5,8,3,1,0,Standard
RAY CONNIFF,7.5,11,4,0,0,Standard
SHAGGY,7.5,3,2,1,0,All types
STEVE WINWOOD,7.5,5,4,2,0,Standard
SUSAN BOYLE,7.5,3,2,2,0,Standard
THE BLACK CROWES,7.5,3,2,2,0,Standard
THE TALKING HEADS,7.5,8,3,2,0,Standard
TORI AMOS,7.5,6,5,2,0,Standard
TRACE ADKINS,7.5,8,5,1,0,All types
VANILLA ICE,7.5,2,1,1,0,All types
WHAM!,7.5,3,2,1,0,All types
WYNONNA JUDD,7.5,4,3,1,0,Standard
311,7,7,3,1,0,All types
AALIYAH,7,4,4,3,0,Standard
AKON,7,2,2,1,0,All types
CASTING CROWNS,7,7,5,1,0,All types
CHRIS STAPLETON,7,4,4,1,0,All types
CINDERELLA,7,3,3,2,0,Standard
FOO FIGHTERS,7,7,7,0,0,All types
FUGEES,7,1,1,1,0,Standard
GEORGE WINSTON,7,7,3,1,0,Standard
HANSON,7,5,3,1,0,Standard
JONI MITCHELL,7,9,3,1,0,Standard
JUICE WRLD,7,3,3,3,0,All types
