,Artist ,Certified Units ,,,,
(In Millions),Gold ®,Platinum ®,Multi-Platinum ™,Diamond ®,Type ,
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
INDIA.ARIE,3.5,3,2,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
INSANE CLOWN POSSE,3.5,5,2,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
J. GEILS BAND,3.5,6,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JAMES BLUNT,3.5,2,1,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JILL SCOTT,3.5,4,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JOHN ANDERSON,3.5,4,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JOHN LENNON & YOKO ONO,3.5,2,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
K.D. LANG,3.5,4,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
KATHY MATTEA,3.5,6,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
KID CUDI,3.5,3,2,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
KINGSTON TRIO,3.5,7,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LEE GREENWOOD,3.5,5,2,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LITTLE BIG TOWN,3.5,4,3,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LORDE,3.5,2,1,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LOS TEMERARIOS,3.5,5,2,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LOU RAWLS,3.5,5,2,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MAC DAVIS,3.5,5,2,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MACY GRAY,3.5,2,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MANTOVANI,3.5,7,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MARTY ROBBINS,3.5,6,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MUSE,3.5,4,3,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
NEAL MC COY,3.5,4,3,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
NELLY FURTADO,3.5,3,2,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
PATTI LABELLE,3.5,6,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
PRESIDENTS OF THE UNITED STATES OF AMERICA,3.5,2,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
PUDDLE OF MUDD,3.5,2,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
RAY STEVENS,3.5,5,2,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SAMMY HAGAR,3.5,5,2,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SEETHER,3.5,4,3,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SILK,3.5,3,2,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
STEVE MARTIN,3.5,3,2,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
TERRI CLARK,3.5,4,3,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE ALL-AMERICAN REJECTS,3.5,3,2,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE DEFTONES,3.5,4,3,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE WHISPERS,3.5,5,2,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
"TYLER, THE CREATOR",3.5,5,2,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
2 LIVE CREW,3,5,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
AQUA,3,1,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
AVERAGE WHITE BAND,3,5,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BAHA MEN,3,1,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BILLY GILMAN,3,3,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BLUES BROTHERS,3,2,2,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CALVIN HARRIS,3,3,3,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CAPTAIN & TENNILLE,3,5,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CARDI B,3,1,1,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CHEETAH GIRLS,3,2,2,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CHUMBAWAMBA,3,1,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CONFEDERATE RAILROAD,3,2,2,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
D12,3,2,2,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DABABY,3,3,3,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DAN + SHAY,3,4,2,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DAVE MATTHEWS & TIM REYNOLDS,3,1,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DONNIE MC CLURKIN,3,4,2,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
EAZY-E,3,3,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
EDDY ARNOLD,3,3,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ERNIE FORD,3,4,2,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
EXPOSE,3,3,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
FAITH EVANS,3,4,2,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
FREDDIE JACKSON,3,4,2,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
FUEL,3,2,2,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
FUN.,3,1,1,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
GARBAGE,3,2,2,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
GORILLAZ,3,2,2,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
GUY,3,2,2,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
HARRY BELAFONTE,3,6,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
HENRY MANCINI,3,6,0,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ICE-T,3,5,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ISAAC HAYES,3,6,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JAHEIM,3,4,2,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JAMIE FOXX,3,2,2,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JASON DERULO,3,4,2,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JHENE AIKO,3,4,2,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JOAN BAEZ,3,6,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JOAN OSBORNE,3,1,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JOE DIFFIE,3,4,2,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JOHN BARRY,3,4,2,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JOHN CAFFERTY & BEAVER BROWN,3,1,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JOHNNY GILL,3,3,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JONAS BROTHERS,3,3,3,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
KANE BROWN,3,2,2,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
KEYSHIA COLE,3,3,3,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LEE BRICE,3,5,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LIFEHOUSE,3,3,1,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LITTLE FEAT,3,5,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LOREENA MC KENNITT,3,3,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LOU BEGA,3,1,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LYLE LOVETT,3,6,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MAC MILLER,3,5,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MARIO LANZA,3,3,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MARY MARY,3,3,1,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MEEK MILL,3,4,2,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MICHAEL MC DONALD,3,5,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MICHELLE BRANCH,3,2,2,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MIDNIGHT STAR,3,3,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MIGOS,3,2,2,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MOBB DEEP,3,4,2,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MUSIQ,3,4,2,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
NAUGHTY BY NATURE,3,4,2,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
NEWSBOYS,3,6,0,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
NIGHT RANGER,3,4,2,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
NITTY GRITTY DIRT BAND,3,4,2,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
OLIVIA RODRIGO,3,1,1,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
PARTRIDGE FAMILY,3,6,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
PET SHOP BOYS,3,5,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
PRINCE & THE NEW POWER GENERATION,3,2,2,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
REDMAN,3,5,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
RICKY SKAGGS,3,5,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ROBERT CRAY,3,3,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ROD WAVE,3,3,3,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
RODNEY ATKINS,3,3,1,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ROGER WILLIAMS,3,6,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SARA BAREILLES,3,3,1,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SARAH BRIGHTMAN,3,5,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SEAN PAUL,3,2,2,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SHAUN CASSIDY,3,3,3,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SHEENA EASTON,3,5,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SILVERCHAIR,3,3,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SIMPLE PLAN,3,2,2,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SOUL ASYLUM,3,2,2,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
STEPHANIE MILLS,3,6,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
STEVIE RAY VAUGHAN,3,5,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SWITCHFOOT,3,3,1,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SZA,3,1,1,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
T-PAIN,3,3,1,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
TEVIN CAMPBELL,3,2,2,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE ASSOCIATION,3,3,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE BAND,3,5,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THREE 6 MAFIA,3,4,2,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
TOBYMAC,3,6,0,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
TRICK DADDY,3,5,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
TRIUMPH,3,5,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
UB-40,3,3,3,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
USA FOR AFRICA,3,1,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
WYCLEF JEAN,3,2,2,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
XSCAPE,3,3,3,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
5 SECONDS OF SUMMER,2.5,3,2,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
A PERFECT CIRCLE,2.5,3,2,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
AL B. SURE!,2.5,2,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ALDO NOVA,2.5,2,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ANDREAS VOLLENWEIDER,2.5,4,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ANDY GIBB,2.5,3,2,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ANTHRAX,2.5,5,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BASIA,2.5,3,2,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BAY CITY ROLLERS,2.5,5,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BEN HARPER,2.5,5,0,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BIG TYMERS,2.5,3,2,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BILLY CURRINGTON,2.5,4,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BJORK,2.5,3,2,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BLACKHAWK,2.5,2,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BON IVER,2.5,3,2,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BRANTLEY GILBERT,2.5,3,2,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BRYAN WHITE,2.5,3,2,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
BUCKCHERRY,2.5,2,1,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CECE WINANS,2.5,4,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CELTIC WOMAN,2.5,3,2,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CHAKA KHAN,2.5,4,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CHARLIE PUTH,2.5,2,1,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CHIC,2.5,3,2,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
COLBIE CAILLAT,2.5,2,1,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
CONJUNTO PRIMAVERA,2.5,4,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DA BRAT,2.5,3,2,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DAMN YANKEES,2.5,2,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DARIUS RUCKER,2.5,3,2,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DAVE BRUBECK,2.5,2,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DAVE MASON,2.5,4,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DAVID ALLAN COE,2.5,4,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DJ QUIK,2.5,4,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DOJA CAT,2.5,3,2,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
DONNY OSMOND,2.5,5,0,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
E-40,2.5,4,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
EPMD,2.5,5,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
EVERLAST,2.5,2,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
EXTREME II,2.5,2,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
FAT BOYS,2.5,4,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
FIREFALL,2.5,3,2,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
FIREHOUSE,2.5,2,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
FOXY BROWN,2.5,3,2,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
FRENCH MONTANA,2.5,3,2,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
GIPSY KINGS,2.5,3,2,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
GO GO'S,2.5,2,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
HEATWAVE,2.5,3,2,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
HERBIE HANCOCK,2.5,3,2,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
HERMAN'S HERMITS,2.5,5,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JANE FONDA,2.5,2,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JEREMIH,2.5,3,2,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JIM CROCE,2.5,4,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JIM REEVES,2.5,4,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JOAN JETT & THE BLACKHEARTS,2.5,3,2,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JOE SATRIANI,2.5,4,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JOHN COLTRANE,2.5,4,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
JUSTIN MOORE,2.5,3,2,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
K.T. OSLIN,2.5,3,2,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
KEITH WHITLEY,2.5,4,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
KENNY WAYNE SHEPHERD,2.5,3,2,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
KENTUCKY HEADHUNTERS,2.5,2,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
KINGS OF LEON,2.5,2,1,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LARRY THE CABLE GUY,2.5,3,2,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LEON RUSSELL,2.5,5,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LIL DURK,2.5,4,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LIVING COLOUR,2.5,2,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
LOUIS ARMSTRONG,2.5,4,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MACHINE GUN KELLY,2.5,4,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MARCO ANTONIO SOLIS,2.5,4,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MELANIE MARTINEZ,2.5,2,1,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
METHOD MAN,2.5,3,2,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MIGUEL,2.5,3,2,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MINDY MC CREADY,2.5,2,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MOBY,2.5,2,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MONTELL JORDAN,2.5,4,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
MYA,2.5,3,2,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
NEXT,2.5,2,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
NF,2.5,3,2,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
OTIS REDDING,2.5,2,1,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
OTTMAR LIEBERT,2.5,4,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
POP SMOKE,2.5,2,1,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
PRIMUS,2.5,3,2,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
RAE SREMMURD,2.5,3,2,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
RASCALS,2.5,5,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
RICK ASTLEY,2.5,2,1,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
RICK JAMES,2.5,4,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
RICK ROSS,2.5,4,1,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
RISE AGAINST,2.5,3,2,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
ROB THOMAS,2.5,2,1,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
RODDY RICCH,2.5,2,1,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
RUSS,2.5,2,1,1,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SINEAD O'CONNOR,2.5,2,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SIR MIX-A-LOT,2.5,3,2,0,0,All types
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SLAUGHTER,2.5,2,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SOUL II SOUL,2.5,2,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SPINNERS,2.5,5,0,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
STEVE PERRY,2.5,2,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
SUZY BOGGUSS,2.5,4,1,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE CULT,2.5,3,2,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE HOOTERS,2.5,2,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE JERKY BOYS,2.5,3,2,0,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE KNACK,2.5,2,1,1,0,Standard
,,,,,,MORE DETAILS 
,,,,,,
SHARE,,,,,,
THE OUTFIELD,2.5,2,1,1,0,Standard
,,,,,,MORE DETAILS 
